,title_maart,title_april,published_at_maart,views_maart,rank_in_region_maart,views_april,rank_in_region_april,country_april,days_since_upload_april,duration_in_minutes_april,category_name_april,rank_change
32,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,2025-02-25 16:00:54,16640937,1,30400086.0,35,Oeganda,34,0.6,Entertainment,34
33,Cindy vs Sheebah battle2025 funny performance (Namuyomba Comedy) live band,Cindy vs Sheebah battle2025 funny performance (Namuyomba Comedy) live band,2025-02-27 07:33:08,38857,7,200106.0,30,Oeganda,32,9.8,Comedy,23
34,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,10,99252449.0,38,Oeganda,33,1.2,Entertainment,28
35,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,10,99252449.0,50,Zimbabwe,33,1.2,Entertainment,40
36,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,10,99252449.0,38,Malta,33,1.2,Entertainment,28
37,Vinka - Sirubala (Official Music Video),Vinka - Sirubala (Official Music Video),2025-02-27 14:55:06,79747,11,299959.0,25,Oeganda,32,3.4,Music,14
38,Still surprising mom with magic ✨,Still surprising mom with magic ✨,2025-02-26 13:01:30,20988527,15,51493926.0,42,Oeganda,33,0.2,Comedy,27
39,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,1,99252449.0,38,Oeganda,33,1.2,Entertainment,37
40,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,1,99252449.0,50,Zimbabwe,33,1.2,Entertainment,49
41,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,1,99252449.0,38,Malta,33,1.2,Entertainment,37
42,Still surprising mom with magic ✨,Still surprising mom with magic ✨,2025-02-26 13:01:30,20988527,2,51493926.0,42,Oeganda,33,0.2,Comedy,40
43,Nutty O - NORMALIZE,Nutty O - NORMALIZE,2025-02-26 08:00:34,161749,3,333483.0,33,Zimbabwe,33,3.1,Music,30
44,EXQ - DIWAWO (performance video),EXQ - DIWAWO (performance video),2025-02-26 08:00:51,60951,10,164024.0,48,Zimbabwe,33,3.8,Music,38
45,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,15,99252449.0,38,Oeganda,33,1.2,Entertainment,23
46,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,15,99252449.0,50,Zimbabwe,33,1.2,Entertainment,35
47,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,15,99252449.0,38,Malta,33,1.2,Entertainment,23
48,Still surprising mom with magic ✨,Still surprising mom with magic ✨,2025-02-26 13:01:30,20988527,20,51493926.0,42,Oeganda,33,0.2,Comedy,22
49,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,2025-02-25 16:00:54,16640937,23,30400086.0,35,Oeganda,34,0.6,Entertainment,12
50,إعلان إي آند(&e)رمضان 2025 - أكتر و أكتر - غناء شيرين عبد الوهاب,إعلان إي آند(&e)رمضان 2025 - أكتر و أكتر - غناء شيرين عبد الوهاب,2025-03-01 10:02:01,5753091,28,38480951.0,22,Algerije,30,3.2,Entertainment,-6
51,إعلان إي آند(&e)رمضان 2025 - أكتر و أكتر - غناء شيرين عبد الوهاب,إعلان إي آند(&e)رمضان 2025 - أكتر و أكتر - غناء شيرين عبد الوهاب,2025-03-01 10:02:01,5753091,28,38481408.0,14,Jemen,30,3.2,Entertainment,-14
52,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,2025-02-28 15:00:06,2009094,31,11697203.0,47,Libanon,31,2.9,Music,16
53,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,11,99252449.0,38,Oeganda,33,1.2,Entertainment,27
54,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,11,99252449.0,50,Zimbabwe,33,1.2,Entertainment,39
55,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,11,99252449.0,38,Malta,33,1.2,Entertainment,27
56,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,15,99252449.0,38,Oeganda,33,1.2,Entertainment,23
57,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,15,99252449.0,50,Zimbabwe,33,1.2,Entertainment,35
58,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,15,99252449.0,38,Malta,33,1.2,Entertainment,23
59,姐姐好厉害啊！#火影忍者 #家庭 #小蚂蚁,姐姐好厉害啊！#火影忍者 #家庭 #小蚂蚁,2025-02-25 09:00:13,25405757,7,98503326.0,39,Oeganda,34,0.4,People & Blogs,32
60,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,7,99252449.0,38,Oeganda,33,1.2,Entertainment,31
61,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,7,99252449.0,50,Zimbabwe,33,1.2,Entertainment,43
62,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,7,99252449.0,38,Malta,33,1.2,Entertainment,31
63,Still surprising mom with magic ✨,Still surprising mom with magic ✨,2025-02-26 13:01:30,21003434,12,51493926.0,42,Oeganda,33,0.2,Comedy,30
64,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,3,99252449.0,38,Oeganda,33,1.2,Entertainment,35
65,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,3,99252449.0,50,Zimbabwe,33,1.2,Entertainment,47
66,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,3,99252449.0,38,Malta,33,1.2,Entertainment,35
67,姐姐好厉害啊！#火影忍者 #家庭 #小蚂蚁,姐姐好厉害啊！#火影忍者 #家庭 #小蚂蚁,2025-02-25 09:00:13,25405757,11,98503326.0,39,Oeganda,34,0.4,People & Blogs,28
68,This was SO close😳😭 #newchallenge #shorts  @isabellaafro @IsabellandJay,This was SO close😳😭 #newchallenge #shorts  @isabellaafro @IsabellandJay,2025-03-01 15:04:19,7186598,28,34972610.0,41,Oeganda,30,0.5,Comedy,13
69,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,2025-02-28 15:00:06,2009094,38,11697203.0,47,Libanon,31,2.9,Music,9
70,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,2025-02-28 15:00:06,2009094,14,11697203.0,47,Libanon,31,2.9,Music,33
71,Still surprising mom with magic ✨,Still surprising mom with magic ✨,2025-02-26 13:01:30,21003434,25,51493926.0,42,Oeganda,33,0.2,Comedy,17
72,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,2025-02-28 15:00:06,2009094,21,11697203.0,47,Libanon,31,2.9,Music,26
73,"Highest Away From Me Wins $10,000","Highest Away From Me Wins $10,000",2025-02-28 17:00:00,76830842,33,161117200.0,49,Luxemburg,31,0.8,Entertainment,16
74,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36441314,2,99252449.0,38,Oeganda,33,1.2,Entertainment,36
75,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36441314,2,99252449.0,50,Zimbabwe,33,1.2,Entertainment,48
76,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36441314,2,99252449.0,38,Malta,33,1.2,Entertainment,36
77,"Haha, are children's brains so good now?# Mother and Child Daily# Family Fun# Life Tips# Parent-Chi","Haha, are children's brains so good now?# Mother and Child Daily# Family Fun# Life Tips# Parent-Chi",2025-02-28 07:07:40,6366144,20,75379066.0,37,Oeganda,31,0.6,People & Blogs,17
78,Still surprising mom with magic ✨,Still surprising mom with magic ✨,2025-02-26 13:01:30,21017150,27,51493926.0,42,Oeganda,33,0.2,Comedy,15
79,Still surprising mom with magic ✨,Still surprising mom with magic ✨,2025-02-26 13:01:30,21017150,4,51493926.0,42,Oeganda,33,0.2,Comedy,38
80,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,11,99252449.0,38,Oeganda,33,1.2,Entertainment,27
